phase,trial,block,choice_stage1,reaction_time_stage1,transition,second_state,choice_stage2,reaction_time_stage2,reward,prob1_1,prob1_2,prob2_1,prob2_2
practice,1,1,1,3.04925060000096,common,pink,1,0.6138818000035826,False,0.364311026525684,0.367926334273674,0.361863587021869,0.400724147165668
practice,2,1,1,0.38294859998859465,rare,pink,1,3.8552885000099195,False,0.492180991335772,0.46116286896324,0.478528233447255,0.491785004534009
