type_s,session,phase,trial,block,choice_stage1,reaction_time_stage1,transition,second_state,choice_stage2,reaction_time_stage2,reward,prob1_1,prob1_2,prob2_1,prob2_2
B,2,experiment,1,1,2,0.3670274000032805,common,orange,1,0.7836986000038451,True,0.733128161751665,0.262913238140754,0.661060036392882,0.696297385846265
B,2,experiment,2,1,1,0.5883640999963973,common,green,1,0.7941888000059407,True,0.737155014147073,0.268055746069109,0.651690222447341,0.716065503952148
B,2,experiment,3,1,1,0.3509699999995064,common,green,1,0.6302074999985052,True,0.72542984387916,0.253960738759241,0.625769430405975,0.75
B,2,experiment,4,1,1,1.8817826000013156,common,green,2,0.8011855000077048,False,0.705313456114266,0.25,0.606009972479463,0.715130538016096
