phase,trial,block,choice_stage1,reaction_time_stage1,transition,second_state,choice_stage2,reaction_time_stage2,reward,prob1_1,prob1_2,prob2_1,prob2_2
practice,1,1,1.0,1.7276416000095196,common,pink,1.0,0.7359820999990916,False,0.393391402321868,0.355873715590208,0.398362378915012,0.438755204000564
practice,2,1,1.0,1.7268909999984317,rare,pink,,,,0.364311026525684,0.367926334273674,0.361863587021869,0.400724147165668
practice,3,2,,,,,,,,0.492180991335772,0.46116286896324,0.478528233447255,0.491785004534009
practice,4,2,,,,,,,,0.618738670949824,0.64650532434574,0.615309575124142,0.609544620186186
