type_s,session,phase,trial,block,choice_stage1,reaction_time_stage1,transition,second_state,choice_stage2,reaction_time_stage2,reward,prob1_1,prob1_2,prob2_1,prob2_2
A,1,practice,1,1,2,0.573693500002264,rare,blue,1,0.7673496999923373,False,0.393391402321868,0.355873715590208,0.398362378915012,0.438755204000564
A,1,practice,2,1,2,0.43038990000786725,common,pink,2,0.6344926000019768,True,0.364311026525684,0.367926334273674,0.361863587021869,0.400724147165668
A,1,practice,3,2,2,0.2674667999963276,rare,blue,2,0.3989151999994647,False,0.492180991335772,0.46116286896324,0.478528233447255,0.491785004534009
A,1,practice,4,2,1,0.532047100001364,rare,pink,1,0.7101368000003276,True,0.618738670949824,0.64650532434574,0.615309575124142,0.609544620186186
