phase,trial,block,choice_stage1,reaction_time_stage1,transition,second_state,choice_stage2,reaction_time_stage2,reward,prob1_1,prob1_2,prob2_1,prob2_2
practice,1,1,B,1.615608100008103,rare,blue,2,1.8086159999947995,True,0.364311026525684,0.367926334273674,0.361863587021869,0.400724147165668
practice,2,1,B,2.494117300011567,common,pink,2,0.8950454000005266,False,0.492180991335772,0.46116286896324,0.478528233447255,0.491785004534009
